id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
70101,2011,7,1,638.0,1,2,1930,2,2,2.0,,7.0
280101,2013,9,1,814.0,2,1,1968,5,5,2.0,,7.0
330101,2015,11,1,1027.0,1,2,1939,3,2,1.0,,4.0
630101,2007,3,1,4228.0,4,1,1950,5,1,1.0,,5.0
740101,2010,6,1,3407.0,2,2,1982,5,5,2.0,,5.0
770101,2016,12,1,929.0,1,2,1955,3,4,2.0,,5.0
1160101,2014,10,1,1716.0,1,2,1957,4,3,1.0,,5.0
1910101,2011,7,1,5336.0,5,1,1977,6,1,1.0,,7.0
1920301,2007,3,2,2820.0,1,1,1985,5,5,2.0,,5.0
2280101,2014,10,2,957.0,1,2,1954,3,2,1.0,,7.0
2470101,2006,2,1,2234.0,2,1,1963,5,5,2.0,,6.0
3130101,2016,12,2,8106.0,6,1,1964,8,1,1.0,,5.0
3360101,2015,11,1,5602.0,3,1,1947,5,1,1.0,,4.0
3610101,2013,9,1,3373.0,2,1,1950,4,1,2.0,,6.0
3660101,2011,7,2,2105.0,2,1,1956,4,1,2.0,,5.0
3700101,2015,11,1,1535.0,1,2,1943,3,2,1.0,,7.0
3740101,2014,10,2,6138.0,5,1,1978,6,1,2.0,,6.0
3860101,2005,1,1,1833.4,1,1,1953,7,3,1.0,,6.0
3870101,2014,10,1,2583.0,2,2,1963,7,5,2.0,,3.0
3930101,2006,2,1,1248.0,1,1,1921,4,2,1.0,,6.0
4300101,2008,4,1,2198.0,4,1,1963,4,1,1.0,,5.0
4680101,2007,3,1,3422.0,4,1,1957,5,1,2.0,,5.0
5330101,2013,9,1,1146.0,1,2,1947,4,3,1.0,,7.0
5460101,2011,7,1,1858.0,1,2,1959,5,3,1.0,,7.0
5510101,2014,10,1,4766.0,3,1,1955,7,1,1.0,,7.0
5510101,2016,12,1,5558.0,3,1,1955,7,1,1.0,,7.0
5510902,2014,10,1,6000.0,2,1,1981,7,1,1.0,,7.0
5510902,2016,12,1,10861.0,2,1,1981,7,1,1.0,,7.0
5520101,2016,12,1,6065.0,1,1,1956,4,4,2.0,,5.0
5540101,2010,6,1,7583.0,4,1,1970,5,1,1.0,,5.0
5590101,2016,12,2,955.0,3,1,1936,3,1,2.0,,7.0
5650101,2007,3,1,1074.0,2,1,1956,5,1,1.0,,7.0
5830101,2016,12,1,11264.0,5,1,1971,7,1,2.0,,7.0
5990101,2006,2,1,2548.0,3,2,1961,5,2,1.0,,5.0
6850101,2014,10,2,815.0,1,2,1948,3,2,1.0,,7.0
7120101,2006,2,1,661.0,2,1,1931,5,1,1.0,,4.0
7430101,2006,2,1,1651.0,3,1,1946,4,1,2.0,,6.0
7480101,2006,2,1,2218.0,2,1,1976,5,1,2.0,,5.0
7520501,2017,13,2,7217.0,4,1,1980,6,1,2.0,,6.0
7840101,2006,2,1,14160.0,2,1,1978,7,1,1.0,,5.0
8350101,2007,3,1,2231.0,4,1,1974,7,1,2.0,,7.0
8390101,2006,2,1,2704.0,3,1,1972,5,1,1.0,,7.0
8480101,2011,7,1,9007.0,4,1,1971,7,1,2.0,,6.0
9230101,2017,13,1,1929.0,2,1,1948,2,1,2.0,,5.0
9260301,2017,13,1,19009.0,4,1,1966,7,1,2.0,,5.0
9480101,2013,9,1,3738.0,3,1,1967,6,1,2.0,,6.0
9770101,2005,1,1,7250.0,4,1,1962,8,1,2.0,,7.0
10080101,2008,4,1,3678.0,3,2,1956,4,3,2.0,,6.0
10270101,2006,2,1,612.0,2,2,1960,2,5,1.0,,7.0
10290101,2016,12,2,1293.0,2,1,1943,5,1,2.0,,4.0
10330101,2011,7,2,2427.0,2,2,1990,6,1,1.0,,5.0
10410101,2014,10,1,595.0,1,2,1931,2,2,2.0,,7.0
10420101,2009,5,1,1035.0,2,1,1939,3,1,2.0,,7.0
10440101,2007,3,1,1036.0,1,1,1936,4,2,2.0,,7.0
10520101,2010,6,1,3096.0,3,1,1944,3,1,2.0,,7.0
10990101,2014,10,1,2309.0,1,1,1976,5,5,2.0,,3.0
11320101,2011,7,1,2364.0,2,1,1939,3,1,2.0,,6.0
11380101,2013,9,1,2003.0,1,1,1978,7,5,2.0,,3.0
11390101,2007,3,1,1432.0,1,1,1971,6,3,2.0,,4.0
11590101,2013,9,1,4144.0,2,2,1969,7,1,2.0,,7.0
12230101,2011,7,1,2693.0,4,1,1969,5,3,1.0,,6.0
12490101,2014,10,1,2925.0,3,1,1941,2,1,1.0,,5.0
12770101,2005,1,1,1920.0,4,1,1964,5,1,1.0,,7.0
13160101,2006,2,1,586.0,1,2,1942,3,2,1.0,,7.0
14210101,2010,6,1,2936.0,1,2,1949,4,2,1.0,,3.0
15970101,2010,6,2,10996.0,4,1,1978,7,1,1.0,,3.0
16150301,2010,6,1,5502.0,2,1,1976,7,1,2.0,,3.0
16450101,2012,8,2,4927.0,4,1,1971,7,1,2.0,,7.0
16710101,2010,6,1,544.0,1,1,1957,5,5,1.0,,3.0
16730101,2010,6,1,8603.0,6,1,1957,5,1,1.0,,3.0
16990101,2010,6,1,593.0,1,2,1931,2,2,1.0,,3.0
17040101,2010,6,2,2398.0,4,2,1965,4,4,1.0,,3.0
17260101,2010,6,1,790.0,1,2,1953,6,3,2.0,,3.0
18270101,2014,10,2,80730.0,2,1,1956,4,1,2.0,,3.0
18730101,2009,5,1,732.0,1,2,1934,2,2,2.0,,4.0
19120101,2010,6,1,1105.0,2,2,1958,5,2,1.0,,4.0
19710101,2010,6,1,1516.0,3,1,1936,3,1,1.0,,4.0
20560801,2013,9,2,2899.0,1,1,1988,6,5,2.0,,4.0
20730502,2013,9,1,2805.0,4,1,1981,8,1,1.0,,4.0
20760101,2015,11,2,4011.0,3,2,1962,7,3,1.0,,4.0
21210301,2008,4,2,1190.0,1,1,1972,6,5,1.0,,4.0
21380101,2016,12,1,1142.0,1,2,1971,5,5,1.0,,4.0
21690501,2014,10,2,3537.0,1,1,1978,7,5,1.0,,4.0
22090601,2011,7,1,3342.0,2,2,1979,6,5,1.0,,4.0
22331101,2015,11,1,2784.0,1,1,1989,7,5,2.0,,4.0
22580101,2009,5,2,3737.0,3,1,1976,5,1,2.0,,7.0
22590101,2013,9,2,6075.0,5,1,1977,7,1,2.0,,4.0
22700101,2014,10,2,7863.0,4,1,1968,8,1,1.0,,7.0
22870101,2010,6,2,686.0,1,2,1936,2,2,1.0,,3.0
23520101,2014,10,2,7455.9,3,1,1952,7,1,2.0,,5.0
23790101,2015,11,2,1888.0,3,2,1958,5,3,2.0,,3.0
23820101,2010,6,2,2157.0,1,1,1965,4,5,2.0,,5.0
23861101,2015,11,2,5868.0,2,1,1985,7,1,2.0,,6.0
23870101,2016,12,2,2284.0,2,1,1957,4,1,1.0,,7.0
23890101,2009,5,2,979.0,2,1,1951,5,3,1.0,,7.0
23900801,2012,8,2,625.2,1,1,1963,4,3,2.0,,3.0
24000101,2008,4,2,1939.0,2,1,1975,5,1,1.0,,5.0
24220101,2007,3,2,846.0,1,2,1943,4,2,1.0,,7.0
24540101,2016,12,2,3150.0,1,2,1951,4,3,1.0,,3.0
24690101,2017,13,2,2304.0,3,1,1940,5,1,1.0,,3.0
24720101,2010,6,2,4980.0,3,1,1960,7,1,1.0,,3.0
24820101,2007,3,2,1964.0,2,1,1944,4,1,2.0,,5.0
24830101,2017,13,2,5375.0,3,1,1947,5,1,2.0,,3.0
24860101,2010,6,2,4396.0,4,1,1959,5,1,1.0,,3.0
24920101,2010,6,2,3204.0,4,1,1967,5,1,2.0,,3.0
25030101,2006,2,2,2574.0,2,1,1981,8,1,1.0,,7.0
25220701,2016,12,1,10993.0,4,1,1976,8,1,1.0,,6.0
25350101,2013,9,2,419.0,1,2,1937,3,2,1.0,,5.0
25590101,2015,11,2,2562.0,2,1,1945,5,1,1.0,,4.0
25610101,2007,3,2,523.0,1,2,1933,2,2,1.0,,7.0
25900101,2011,7,2,1518.0,2,1,1947,4,1,2.0,,6.0
25960101,2010,6,2,1403.0,1,2,1947,3,2,2.0,,6.0
26340101,2006,2,2,3680.0,3,1,1974,6,1,2.0,,6.0
27570101,2017,13,2,4123.0,4,2,1980,7,3,1.0,,7.0
27820701,2011,7,2,3036.0,1,1,1968,7,5,2.0,,7.0
27900101,2014,10,2,9314.6,4,1,1963,7,1,2.0,,5.0
28210101,2011,7,1,1163.0,1,2,1947,4,2,1.0,,7.0
28320301,2007,3,2,1248.0,2,1,1987,5,5,1.0,,7.0
29490101,2016,12,1,3895.0,2,2,1970,5,4,2.0,,5.0
29580101,2016,12,1,438.0,2,2,1969,3,2,1.0,,5.0
29970101,2009,5,2,15759.0,4,1,1952,8,1,1.0,,5.0
30350101,2011,7,2,5077.0,3,1,1976,7,1,2.0,,5.0
31080101,2017,13,2,1837.0,2,1,1952,4,1,1.0,,5.0
31170101,2010,6,1,2601.0,4,1,1973,5,1,1.0,,5.0
31580101,2010,6,1,3443.0,3,1,1974,5,1,2.0,,3.0
31620101,2016,12,1,1984.0,3,1,1949,4,1,2.0,,3.0
31970101,2010,6,1,647.0,1,1,1934,3,3,2.0,,3.0
32640901,2015,11,2,2843.0,1,2,1989,7,1,2.0,,5.0
33480101,2008,4,2,3092.0,3,2,1962,5,1,2.0,,5.0
33480101,2017,13,2,2976.0,1,2,1962,5,2,1.0,,5.0
33870101,2009,5,2,7474.0,4,1,1952,5,1,1.0,,3.0
33880101,2006,2,2,5160.0,1,1,1975,9,5,2.0,,5.0
34300601,2016,12,2,4182.0,2,2,1960,5,1,2.0,,7.0
34510101,2010,6,2,669.0,1,2,1942,2,3,1.0,,5.0
34630101,2009,5,2,4529.0,2,1,1944,5,1,2.0,,3.0
34630101,2016,12,2,4794.0,2,1,1944,5,1,1.0,,6.0
35010101,2009,5,2,1917.0,3,1,1969,5,4,2.0,,7.0
35030101,2009,5,2,3693.0,3,1,1955,4,1,2.0,,6.0
35090101,2016,12,2,4278.0,3,1,1953,5,1,2.0,,3.0
35260101,2010,6,2,902.0,1,2,1979,5,5,2.0,,6.0
35300101,2012,8,2,2549.0,4,1,1972,5,1,1.0,,4.0
35350801,2015,11,1,3163.0,2,1,1987,9,1,2.0,,7.0
35410101,2012,8,2,14022.0,4,1,1963,7,1,2.0,,6.0
35470101,2017,13,2,2572.0,1,2,1937,3,2,1.0,,3.0
35540101,2009,5,2,2682.0,3,1,1975,5,1,2.0,,7.0
35820101,2008,4,2,713.0,1,2,1934,3,2,1.0,,3.0
35830101,2010,6,1,5018.0,1,2,1971,7,5,2.0,,6.0
35830101,2014,10,2,8653.0,1,2,1971,8,5,2.0,,6.0
35850101,2008,4,2,2264.0,1,2,1960,5,3,1.0,,6.0
35880101,2007,3,2,2563.0,2,2,1942,3,1,1.0,,5.0
35900101,2006,2,2,4952.0,2,1,1977,5,1,1.0,,7.0
35900101,2015,11,2,5688.0,4,1,1977,5,1,1.0,,5.0
35940101,2008,4,2,2280.0,2,1,1976,5,3,2.0,,3.0
36040101,2013,9,2,3963.0,4,1,1969,5,1,2.0,,6.0
36050101,2011,7,2,1970.0,3,1,1945,3,1,2.0,,6.0
36500101,2006,2,2,4836.581907,4,1,1973,7,1,2.0,,5.0
