id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,occupation,company_size
10101,2005,1,Seoul,614,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2011,7,Seoul,896,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2012,8,Seoul,1310,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2013,9,Seoul,2208,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2014,10,Seoul,864,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2015,11,Seoul,1171,1,Female,1936,No education (7 & over 7 yrs-old),2,Have religion, , 
10101,2016,12,Seoul,1643,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
10101,2017,13,Seoul,851,1,Female,1936,No education (7 & over 7 yrs-old),2,Do not have, , 
20101,2005,1,Seoul,1257,1,Female,1945,Middle school,2,Do not have,421,1
20101,2006,2,Seoul,-520.062475,1,Female,1945,Middle school,2,Do not have, , 
20101,2007,3,Seoul,602,1,Female,1945,Middle school,2,Do not have,411,1
20101,2008,4,Seoul,1972,1,Female,1945,Middle school,2,Do not have,951,1
20101,2009,5,Seoul,1638,1,Female,1945,Middle school,2,Have religion,951,1
20101,2010,6,Seoul,1598,1,Female,1945,Middle school,2,Do not have,951,1
20101,2011,7,Seoul,1810,1,Female,1945,Middle school,2,Do not have, , 
20101,2012,8,Seoul,2447,1,Female,1945,Middle school,2,Do not have, , 
20101,2013,9,Seoul,2023,1,Female,1945,Middle school,2,Do not have,951,1
20101,2014,10,Seoul,600,1,Female,1945,Middle school,2,Do not have, , 
20101,2015,11,Seoul,1750,1,Female,1945,Middle school,2,Have religion, , 
20101,2016,12,Seoul,1304,1,Female,1945,Middle school,2,Do not have, , 
20101,2017,13,Seoul,1474,1,Female,1945,Middle school,2,Have religion, , 
20101,2018,14,Seoul,2330,1,Female,1945,Middle school,2,Have religion, , 
30101,2005,1,Seoul,935,2,Male,1948,Elementary,1,Do not have, , 
30101,2006,2,Seoul,499,2,Male,1948,Elementary,1,Have religion,513,1
30101,2007,3,Seoul,1444,2,Male,1948,Elementary,1,Have religion,513,1
30101,2008,4,Seoul,1818,2,Male,1948,Elementary,1,Have religion,521,1
30101,2009,5,Seoul,563,2,Male,1948,Elementary,1,Have religion, , 
30101,2010,6,Seoul,812,2,Male,1948,Elementary,1,Do not have, , 
30101,2011,7,Seoul,1256,2,Male,1948,Elementary,2,Do not have, , 
30101,2012,8,Seoul,1022,1,Male,1948,Elementary,2,Do not have,942,3
30101,2013,9,Seoul,1571,1,Male,1948,Elementary,2,Have religion,942,1
30101,2014,10,Seoul,1619,1,Male,1948,Elementary,2,Do not have,942,3
30101,2015,11,Seoul,1437,1,Male,1948,Elementary,2,Do not have, , 
30101,2016,12,Seoul,978,1,Male,1948,Elementary,2,Do not have, , 
30101,2017,13,Seoul,698,1,Male,1948,Elementary,2,Do not have, , 
30101,2018,14,Seoul,815,1,Male,1948,Elementary,2,Do not have, , 
40101,2005,1,Seoul,1440,1,Male,1942,University degree,3,Have religion,832,3
40101,2006,2,Seoul,2130,1,Male,1942,University degree,3,Have religion,832,1
40101,2007,3,Seoul,2287,1,Male,1942,University degree,3,Have religion,832,6
40101,2008,4,Seoul,2317,2,Male,1942,University degree,3,Have religion,862,1
40101,2009,5,Seoul,3300,2,Male,1942,University degree,3,Have religion,762,2
40101,2010,6,Seoul,2461,2,Male,1942,University degree,3,Have religion,762,2
40101,2011,7,Seoul,2958,2,Male,1942,University degree,3,Have religion,762,1
40101,2012,8,Seoul,2796,2,Male,1942,University degree,3,Have religion,762,2
40101,2013,9,Seoul,3878,2,Male,1942,University degree,3,Have religion,762,2
40101,2014,10,Seoul,3687,2,Male,1942,University degree,3,Have religion,762,2
40101,2015,11,Seoul,3816,2,Male,1942,University degree,3,Have religion,762,2
40101,2016,12,Seoul,4232,2,Male,1942,University degree,3,Have religion,762,2
40101,2017,13,Seoul,3449,2,Male,1942,University degree,3,Have religion,762,2
40101,2018,14,Seoul,2116,1,Male,1942,University degree,3,Have religion,762,2
50101,2005,1,Seoul,4552,4,Male,1955,High school,1,Have religion,415,1
60101,2005,1,Seoul,2429,5,Male,1962,College,1,Have religion,511,1
60101,2006,2,Seoul,3109,5,Male,1962,College,1,Have religion,511,1
60101,2007,3,Seoul,3031,5,Male,1962,College,1,Have religion,512,1
60101,2008,4,Seoul,1540,5,Male,1962,College,1,Have religion,530,1
60101,2009,5,Seoul,3564,5,Male,1962,College,1,Have religion,530,1
60101,2010,6,Seoul,2964,5,Male,1962,College,1,Have religion,530,1
60101,2011,7,Seoul,3604,5,Male,1962,College,1,Have religion,530,1
60101,2012,8,Seoul,3116,5,Male,1962,College,1,Have religion,530,1
60101,2013,9,Seoul,4079,5,Male,1962,College,1,Have religion,530,1
60101,2014,10,Seoul,3486,5,Male,1962,College,1,Have religion,530,1
60101,2015,11,Seoul,4821,5,Male,1962,College,1,Have religion,530,1
60101,2016,12,Seoul,5921,5,Male,1962,College,1,Have religion,530,1
60101,2017,13,Seoul,4668,5,Male,1962,College,1,Have religion,530,1
60101,2018,14,Seoul,5008,5,Male,1962,College,1,Have religion,855,3
70101,2005,1,Seoul,318,1,Female,1930,No education (7 & over 7 yrs-old),2,Have religion, , 
70101,2006,2,Seoul,434,1,Female,1930,No education (7 & over 7 yrs-old),2,Do not have, , 
70101,2007,3,Seoul,533,1,Female,1930,No education (7 & over 7 yrs-old),2,Do not have, , 
70101,2008,4,Seoul,567,1,Female,1930,No education (7 & over 7 yrs-old),2,Have religion, , 
70101,2009,5,Seoul,656,1,Female,1930,No education (7 & over 7 yrs-old),2,Do not have, , 
70101,2010,6,Seoul,958,1,Female,1930,No education (7 & over 7 yrs-old),2,Do not have, , 
70101,2011,7,Seoul,638,1,Female,1930,No education (7 & over 7 yrs-old),2,Do not have, , 
70101,2012,8,Jeolla & Jeju,513,3,Male,1956,High school,1,Do not have, , 
70101,2013,9,Jeolla & Jeju,625,3,Male,1956,High school,1,Do not have, , 
70101,2014,10,Jeolla & Jeju,969,3,Male,1956,High school,1,Do not have, , 
80101,2005,1,Seoul,556,1,Female,1940,Elementary,2,Have religion,911,1
80101,2006,2,Seoul,1164,1,Female,1940,Elementary,2,Have religion, , 
80101,2007,3,Seoul,446,1,Female,1940,Elementary,2,Have religion, , 
80101,2008,4,Seoul,379,1,Female,1940,Elementary,2,Do not have, , 
80101,2009,5,Seoul,751,1,Female,1940,Elementary,2,Have religion, , 
80101,2010,6,Seoul,743,1,Female,1940,Elementary,2,Have religion, , 
80101,2011,7,Seoul,666,1,Female,1940,Elementary,2,Have religion, , 
80101,2012,8,Seoul,1038,1,Female,1940,Elementary,2,Have religion,999,1
80101,2013,9,Seoul,764,1,Female,1940,Elementary,2,Have religion, , 
80101,2014,10,Kyeong-gi,1369,1,Female,1940,Elementary,2,Have religion, , 
80101,2015,11,Kyeong-gi,1010,1,Female,1940,Elementary,2,Have religion,941,3
80101,2016,12,Kyeong-gi,1011,1,Female,1940,Elementary,2,Have religion,999,4
80101,2017,13,Kyeong-gi,1440,1,Female,1940,Elementary,2,Have religion,999,2
80101,2018,14,Kyeong-gi,1332,1,Female,1940,Elementary,2,Have religion,999,1
90101,2005,1,Seoul,962,1,Female,1934,Middle school,2,Have religion, , 
90101,2006,2,Seoul,1132,1,Female,1934,Middle school,2,Have religion, , 
90101,2007,3,Seoul,1149,1,Female,1934,Middle school,2,Have religion, , 
90101,2008,4,Seoul,2156,1,Female,1934,Middle school,2,Have religion, , 
100101,2005,1,Seoul,430,2,Female,1970,High school,3,Have religion, , 
100101,2006,2,Seoul,930,2,Female,1970,High school,3,Have religion, , 
100101,2007,3,Seoul,899,2,Female,1970,High school,3,Have religion, , 
100101,2008,4,Seoul,1274,2,Female,1970,High school,3,Have religion, , 
100101,2009,5,Seoul,1144,2,Female,1970,High school,3,Have religion, , 
100101,2010,6,Seoul,1449,2,Female,1970,High school,3,Have religion, , 
100101,2011,7,Seoul,989,2,Female,1970,High school,3,Have religion, , 
100101,2012,8,Seoul,1323,2,Female,1970,High school,3,Have religion, , 
100101,2013,9,Seoul,1398,2,Female,1970,High school,3,Have religion, , 
100101,2014,10,Seoul,1257,2,Female,1970,High school,3,Have religion, , 
100101,2015,11,Seoul,1302,2,Female,1970,High school,3,Have religion, , 
100101,2016,12,Seoul,2172,2,Female,1970,High school,3,Have religion, , 
100101,2017,13,Seoul,2218,2,Female,1970,High school,3,Have religion, , 
100101,2018,14,Seoul,2039,2,Female,1970,High school,3,Have religion, , 
110101,2005,1,Seoul,833,2,Male,1937,Middle school,1,Have religion, , 
110101,2006,2,Seoul,249.8650261,2,Male,1937,Middle school,1,Have religion, , 
110101,2007,3,Seoul,891,2,Male,1937,Middle school,1,Do not have, , 
120101,2005,1,Seoul,1034,2,Male,1940,Middle school,1,Do not have,713,1
120101,2006,2,Seoul,819,2,Male,1940,Middle school,1,Do not have,713,2
120101,2007,3,Seoul,1413,2,Male,1940,Middle school,1,Do not have,713,1
120101,2008,4,Seoul,6238,7,Male,1940,Middle school,1,Do not have,730,3
120101,2009,5,Seoul,9034,7,Male,1940,Middle school,1,Do not have,730,1
120101,2011,7,Seoul,6909,7,Male,1940,Middle school,1,Do not have,730,1
120101,2012,8,Seoul,2202,2,Male,1940,Middle school,1,Do not have,730,1
120101,2013,9,Seoul,1292,2,Male,1940,Middle school,1,Do not have, , 
120101,2014,10,Seoul,854,2,Male,1940,Middle school,1,Do not have, , 
120101,2015,11,Seoul,2206,2,Male,1940,Middle school,1,Do not have, , 
120101,2016,12,Seoul,1679,2,Male,1940,Middle school,1,Do not have, , 
120101,2017,13,Seoul,1228,2,Male,1940,Middle school,1,Do not have, , 
120101,2018,14,Seoul,1590,2,Male,1940,Middle school,1,Do not have, , 
130101,2005,1,Seoul,639,2,Male,1965,Middle school,5,Do not have, , 
130101,2007,3,Seoul,1258,2,Male,1965,Middle school,5,Do not have, , 
130101,2008,4,Seoul,1404,2,Male,1965,Middle school,5,Do not have, , 
140101,2005,1,Seoul,494,2,Male,1962,College,5,Have religion, , 
140101,2006,2,Seoul,598,2,Male,1962,College,5,Have religion, , 
140101,2007,3,Seoul,516,2,Male,1962,College,5,Have religion, , 
140101,2008,4,Seoul,793,2,Male,1962,College,5,Have religion, , 
140101,2009,5,Seoul,731,2,Male,1962,College,5,Have religion, , 
140101,2010,6,Seoul,917,2,Male,1962,College,5,Have religion, , 
140101,2011,7,Seoul,462,1,Male,1962,College,5,Have religion, , 
140101,2012,8,Seoul,130,1,Male,1962,College,5,Have religion, , 
140101,2013,9,Seoul,855,1,Male,1962,College,5,Have religion,999,1
140101,2014,10,Seoul,542,1,Male,1962,College,5,Do not have,999,1
140101,2015,11,Seoul,414,1,Male,1962,College,5,Have religion, , 
140101,2016,12,Seoul,676,1,Male,1962,College,5,Have religion, , 
140101,2017,13,Seoul,434,1,Male,1962,College,5,Have religion, , 
140101,2018,14,Seoul,499,1,Male,1962,College,5,Have religion, , 
150101,2005,1,Seoul,645,3,Male,1978,University degree,1,Do not have, , 
150101,2006,2,Seoul,1364,3,Male,1978,University degree,1,Do not have, , 
150101,2007,3,Seoul,3222,3,Male,1978,University degree,1,Do not have,311,3
150101,2008,4,Seoul,3068,3,Male,1978,University degree,1,Do not have,312,4
150101,2009,5,Seoul,3686,4,Male,1978,University degree,1,Do not have,312,3
150101,2010,6,Seoul,4885,4,Male,1978,University degree,1,Do not have,312,3
150101,2011,7,Seoul,4886,4,Male,1978,University degree,1,Do not have,312,2
150101,2012,8,Seoul,4406,4,Male,1978,University degree,1,Do not have,312,3
150101,2013,9,Seoul,5578,4,Male,1978,University degree,1,Do not have,312,3
150101,2014,10,Seoul,7212,4,Male,1978,University degree,1,Do not have,312,2
150101,2015,11,Seoul,6016,4,Male,1978,University degree,1,Do not have,312,3
150101,2016,12,Seoul,5573,4,Male,1978,University degree,1,Do not have,312,3
150101,2017,13,Seoul,6189,4,Male,1978,University degree,1,Do not have,312,3
150101,2018,14,Seoul,6751,4,Male,1978,University degree,1,Do not have,312,3
160101,2005,1,Seoul,813,2,Male,1941,High school,1,Do not have, , 
160101,2006,2,Seoul,4970,2,Male,1941,High school,1,Do not have, , 
160101,2007,3,Seoul,3211,2,Male,1941,High school,1,Do not have, , 
160101,2008,4,Seoul,4017,2,Male,1941,High school,1,Do not have, , 
160101,2009,5,Seoul,4378,2,Male,1941,High school,1,Do not have, , 
160101,2010,6,Seoul,4039,2,Male,1941,High school,1,Do not have, , 
160101,2011,7,Seoul,3807,2,Male,1941,High school,1,Do not have, , 
160101,2012,8,Seoul,1992,2,Male,1941,High school,1,Do not have, , 
160101,2013,9,Seoul,2960,2,Male,1941,High school,1,Do not have, , 
160101,2014,10,Seoul,4260,2,Male,1941,High school,1,Have religion, , 
160101,2015,11,Seoul,3100,2,Male,1941,High school,1,Do not have, , 
160101,2016,12,Seoul,2314,2,Male,1941,High school,1,Have religion, , 
160101,2017,13,Seoul,3438,2,Male,1941,High school,1,Have religion, , 
160101,2018,14,Seoul,3572,2,Male,1941,High school,1,Have religion, , 
170101,2005,1,Seoul,651,1,Male,1964,Elementary,5,Do not have,513,1
170101,2006,2,Seoul,409,1,Male,1964,Elementary,5,Do not have, , 
170101,2007,3,Seoul,635,1,Male,1964,Elementary,5,Do not have, , 
170101,2008,4,Seoul,1047,1,Male,1964,Elementary,5,Do not have,530,1
170101,2009,5,Seoul,1102,1,Male,1964,Elementary,5,Do not have,530,1
170101,2010,6,Seoul,1026,1,Male,1964,Elementary,5,Do not have,530,1
170101,2011,7,Seoul,796,1,Male,1964,Elementary,5,Do not have,530,1
170101,2012,8,Seoul,1032,1,Male,1964,Elementary,5,Do not have,521,1
170101,2013,9,Seoul,1154,1,Male,1964,Elementary,5,Do not have,530,1
170101,2014,10,Seoul,1363,1,Male,1964,Elementary,5,Do not have,530,1
170101,2015,11,Seoul,1588,1,Male,1964,Elementary,5,Do not have,530,1
170101,2016,12,Seoul,1576,1,Male,1964,Elementary,5,Do not have,530,1
170101,2017,13,Seoul,1544,1,Male,1964,Elementary,5,Do not have,530,1
170101,2018,14,Seoul,1687,1,Male,1964,Elementary,5,Do not have, , 
180101,2005,1,Seoul,1065,1,Female,1940,No education (7 & over 7 yrs-old),2,Have religion, , 
180101,2006,2,Seoul,561,1,Female,1940,No education (7 & over 7 yrs-old),2,Have religion, , 
180101,2007,3,Seoul,1026,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have,411,1
180101,2008,4,Seoul,943,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have,951,1
180101,2009,5,Seoul,856,1,Female,1940,No education (7 & over 7 yrs-old),2,Have religion,951,1
180101,2010,6,Seoul,874,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have,951,1
180101,2011,7,Seoul,902,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have,951,1
180101,2012,8,Seoul,892,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have,951,1
180101,2013,9,Seoul,788,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
180101,2014,10,Seoul,387,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
180101,2015,11,Seoul,1032,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
180101,2016,12,Seoul,952,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
180101,2017,13,Seoul,1050,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
180101,2018,14,Seoul,1027,1,Female,1940,No education (7 & over 7 yrs-old),2,Do not have, , 
190101,2005,1,Seoul,1402,1,Male,1928,Middle school,2,Do not have, , 
200101,2005,1,Seoul,4385,2,Male,1975,University degree,5,Have religion,415,2
200101,2006,2,Seoul,4106,2,Male,1975,University degree,5,Have religion,415,6
200101,2007,3,Seoul,5612,2,Male,1975,University degree,5,Have religion,415,8
200101,2008,4,Seoul,5302,2,Male,1975,University degree,5,Have religion,521,6
200101,2009,5,Seoul,6297,2,Male,1975,University degree,5,Have religion,311,3
200101,2010,6,Seoul,6545,2,Male,1975,University degree,5,Do not have,311,3
200101,2011,7,Seoul,5773,2,Male,1975,University degree,5,Do not have,312,1
200101,2012,8,Seoul,4927,2,Male,1975,University degree,5,Have religion,245,2
200101,2013,9,Seoul,3608,1,Male,1975,University degree,5,Have religion,245,2
200101,2014,10,Seoul,4722,1,Male,1975,University degree,5,Have religion,286,1
200101,2015,11,Seoul,6023,1,Male,1975,University degree,5,Have religion,286,3
200101,2016,12,Seoul,3719,1,Male,1975,University degree,5,Have religion,286,3
200101,2017,13,Seoul,3280,1,Male,1975,University degree,5,Have religion,521,1
200101,2018,14,Seoul,3003,1,Male,1975,University degree,5,Have religion,521,1
200901,2013,9,Seoul,4092,1,Male,1978,High school,1,Have religion,521,1
200901,2014,10,Seoul,4248,1,Male,1978,High school,1,Do not have,521,1
200901,2015,11,Seoul,6760,2,Male,1978,High school,1,Have religion,151,1
200901,2016,12,Seoul,5747,2,Male,1978,High school,1,Have religion,151,1
200901,2017,13,Seoul,5003,2,Male,1978,High school,1,Do not have,151,1
200901,2018,14,Seoul,7054,2,Male,1978,High school,1,Do not have,151,1
210101,2005,1,Seoul,2860,2,Male,1944,Middle school,1,Do not have, , 
220101,2005,1,Seoul,600,1,Male,1957,High school,5,Do not have, , 
220101,2006,2,Seoul,1050,1,Male,1957,High school,5,Do not have,182,10
220101,2007,3,Seoul,852,1,Male,1957,High school,5,Do not have,182,11
220101,2008,4,Seoul,1262,1,Male,1957,High school,5,Do not have,281,1
220101,2009,5,Seoul,1010,1,Male,1957,High school,5,Do not have,281,1
220101,2010,6,Seoul,960,1,Male,1957,High school,5,Do not have, , 
220101,2011,7,Seoul,415,1,Male,1957,High school,5,Do not have, , 
230101,2005,1,Seoul,4240,3,Male,1955,High school,1,Have religion, , 
230101,2006,2,Seoul,4540,3,Male,1955,High school,1,Have religion,823,1
230101,2007,3,Seoul,5198,3,Male,1955,High school,1,Have religion,823,2
230101,2008,4,Seoul,3749,3,Male,1955,High school,1,Have religion,510,1
230101,2009,5,Seoul,6151,3,Male,1955,High school,1,Have religion,441,1
230101,2010,6,Seoul,8210,3,Male,1955,High school,1,Have religion,441,1
230101,2011,7,Seoul,8864,3,Male,1955,High school,1,Have religion,441,1
230101,2012,8,Seoul,7923,2,Male,1955,High school,1,Have religion,922,1
230101,2013,9,Seoul,8811,2,Male,1955,High school,1,Have religion,922,1
240101,2005,1,Seoul,3600,4,Female,1961,Middle school,1,Do not have,512,10
240101,2006,2,Seoul,4350,4,Female,1961,Middle school,1,Do not have,416,1
240101,2007,3,Seoul,3959,4,Female,1961,Middle school,1,Do not have,416,1
240101,2008,4,Seoul,6293,4,Female,1961,Middle school,1,Do not have,432,1
240101,2009,5,Seoul,6163,4,Female,1961,Middle school,1,Do not have, , 
240101,2011,7,Seoul,5052,3,Male,1961,Middle school,1,Do not have,773,2
240101,2012,8,Seoul,4125,3,Male,1961,Middle school,1,Do not have,773,1
240101,2013,9,Seoul,5963,3,Male,1961,Middle school,1,Do not have,773,2
240101,2014,10,Seoul,7374,3,Male,1961,Middle school,1,Do not have,773,2
240101,2015,11,Seoul,5346,3,Male,1961,Middle school,1,Do not have, , 
240101,2016,12,Seoul,7993,3,Male,1961,Middle school,1,Do not have,773,1
240101,2017,13,Seoul,9571,3,Male,1961,Middle school,1,Do not have,773,1
240101,2018,14,Seoul,7577,3,Male,1961,Middle school,1,Do not have,783,1
250101,2005,1,Seoul,2495,5,Female,1962,High school,4,Do not have,930,1
250101,2006,2,Seoul,2471,5,Female,1962,High school,4,Do not have,930,1
250101,2007,3,Seoul,3939,5,Female,1962,High school,5,Do not have,930,1
250101,2008,4,Seoul,3426,5,Female,1962,High school,4,Do not have,721,1
250101,2009,5,Seoul,5595,5,Female,1962,High school,3,Do not have,941,3
250101,2010,6,Seoul,4789,5,Female,1962,High school,3,Have religion,941,4
250101,2011,7,Seoul,5154,4,Female,1962,High school,3,Do not have,941,4
250101,2012,8,Seoul,7379,5,Male,1952,High school,1,Do not have,773,2
250101,2013,9,Seoul,4779,5,Male,1952,High school,1,Do not have,773,1
250101,2014,10,Seoul,5390,3,Male,1952,High school,1,Do not have,773,3
250101,2015,11,Seoul,5793,3,Male,1952,High school,1,Do not have,773,2
250101,2016,12,Seoul,6028,3,Male,1952,High school,1,Have religion,773,1
250101,2017,13,Seoul,7687,4,Male,1952,High school,1,Have religion,773,1
250101,2018,14,Seoul,8433,4,Male,1952,High school,1,Do not have,910,7
260101,2005,1,Seoul,3068,2,Female,1961,High school,3,Have religion, , 
260101,2006,2,Seoul,2484,2,Female,1961,High school,3,Have religion,941,4
260101,2007,3,Seoul,2692,2,Female,1961,Middle school,3,Have religion, , 
260101,2008,4,Seoul,4655,4,Female,1961,Middle school,3,Have religion, , 
