id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
330101,2016,12,4,801.0,1,2,1939,3,2,1.0,,1.0
970301,2008,4,5,3290.0,1,2,1979,7,1,2.0,,2.0
2500301,2009,5,5,3032.0,1,1,1977,6,5,2.0,,1.0
5510101,2015,11,7,5150.0,3,1,1955,7,1,1.0,,1.0
5510101,2017,13,7,6092.0,3,1,1955,7,1,1.0,,1.0
5510902,2015,11,7,6920.0,2,1,1981,7,1,1.0,,1.0
5510902,2017,13,7,10717.0,3,1,1981,7,1,1.0,,1.0
5990101,2010,6,5,1877.0,2,2,1961,5,2,1.0,,1.0
6850101,2015,11,7,1137.0,1,2,1948,3,2,1.0,,2.0
7120101,2009,5,4,922.0,2,1,1931,7,1,1.0,,2.0
7840101,2008,4,5,12902.0,3,1,1978,7,1,1.0,,1.0
8390101,2011,7,7,3482.0,3,1,1972,5,1,2.0,,2.0
10290101,2017,13,4,1522.0,2,1,1943,5,1,2.0,,2.0
10440101,2009,5,7,916.0,1,1,1936,4,2,2.0,,1.0
10990101,2015,11,3,3103.0,1,1,1976,5,5,2.0,,1.0
13160101,2009,5,7,1408.0,2,2,1942,3,2,1.0,,2.0
13480101,2014,10,3,3823.0,2,2,1945,7,1,1.0,,1.0
13480401,2009,5,3,3409.0,1,1,1977,6,5,1.0,,1.0
13560101,2017,13,3,4104.0,2,2,1968,4,2,1.0,,1.0
14210101,2009,5,3,2599.0,1,2,1949,4,2,1.0,,1.0
14500101,2016,12,3,784.0,2,1,1941,4,1,1.0,,1.0
14660101,2016,12,3,4744.0,2,1,1952,5,1,1.0,,2.0
15970101,2009,5,3,5575.0,4,1,1978,7,1,1.0,,2.0
16110701,2016,12,3,7463.0,3,1,1981,6,1,1.0,,1.0
16410101,2014,10,3,6772.0,3,1,1955,5,1,1.0,,2.0
16450101,2010,6,3,4595.0,4,1,1971,7,1,2.0,,2.0
16710101,2009,5,3,909.0,2,1,1957,5,5,1.0,,1.0
16730101,2009,5,3,7713.0,6,1,1957,5,1,2.0,,1.0
16990101,2009,5,3,489.0,1,2,1931,2,2,1.0,,1.0
17040101,2009,5,3,2454.0,4,1,1962,7,1,1.0,,2.0
17260101,2009,5,3,635.0,1,2,1953,6,3,2.0,,1.0
